building,floor,macID,mode,longitude,latitude,deviceinfo,filename
ITB,3,calibrate,2,-79.92131226,43.25870958,sum,calibrate_2_20200128120639786.pbf
ITB,3,calibrate,2,-79.92131083,43.25870099,sum,calibrate_2_20200128120714312.pbf
BSB,1,calibrate,2,-79.92060028,43.2618628,sum,calibrate_2_20200128125043428.pbf
BSB,1,calibrate,2,-79.92061295,43.26226095,sum,calibrate_2_20200128125519789.pbf
ETB,1,calibrate,2,-79.92012711,43.2583305,sum,calibrate_2_20200202160513970.pbf
ETB,1,calibrate,2,-79.92006416,43.25835649,sum,calibrate_2_20200202160545876.pbf
ETB,1,calibrate,2,-79.92010878,43.25829841,sum,calibrate_2_20200202160728771.pbf
ETB,1,calibrate,2,-79.92011144,43.25831115,sum,calibrate_2_20200202160807653.pbf
ETB,1,calibrate,2,-79.92010361,43.25840091,sum,calibrate_2_20200202161056693.pbf
ETB,1,calibrate,2,-79.92010587,43.25841958,sum,calibrate_2_20200202161126722.pbf
ETB,1,calibrate,2,-79.92010437,43.25849278,sum,calibrate_2_20200202161207420.pbf
ETB,1,calibrate,2,-79.92012658,43.25849748,sum,calibrate_2_20200202161237261.pbf
ETB,1,calibrate,2,-79.92011624,43.25851247,sum,calibrate_2_20200202161300905.pbf
ETB,1,calibrate,2,-79.92011846,43.25852655,sum,calibrate_2_20200202161322079.pbf
ETB,1,calibrate,2,-79.9201293,43.25859869,sum,calibrate_2_20200202161458702.pbf
ETB,1,calibrate,2,-79.92012439,43.25865565,sum,calibrate_2_20200202161535428.pbf
ETB,1,calibrate,2,-79.92014357,43.25868953,sum,calibrate_2_20200202161615178.pbf
ITB,1,calibrate,2,-79.92062387,43.25885104,sum,calibrate_2_20200202162152080.pbf
ITB,1,calibrate,2,-79.92061956,43.2588645,sum,calibrate_2_20200202162237465.pbf
ITB,1,calibrate,2,-79.92062715,43.25856693,sum,calibrate_2_20200202162628656.pbf
ITB,2,calibrate,2,-79.92080794,43.25902024,sum,calibrate_2_20200202163545970.pbf
ITB,2,calibrate,2,-79.92074076,43.25902839,sum,calibrate_2_20200202163608184.pbf
IAHS,1,calibrate,2,-79.92041263,43.25969294,sum,calibrate_2_20200202164537641.pbf
IAHS,1,calibrate,2,-79.92035359,43.25972857,sum,calibrate_2_20200202164607717.pbf
IAHS,1,calibrate,2,-79.92033827,43.25977354,sum,calibrate_2_20200202164657327.pbf
IAHS,1,calibrate,2,-79.92018619,43.25979218,sum,calibrate_2_20200202164723226.pbf
IAHS,1,calibrate,2,-79.92047106,43.25977882,sum,calibrate_2_20200202164759451.pbf
IAHS,1,calibrate,2,-79.92047477,43.25970237,sum,calibrate_2_20200202164849976.pbf
JHE,1,calibrate,2,-79.92012315,43.26082892,sum,calibrate_2_20200202165810590.pbf
