building,floor,macID,mode,longitude,latitude,deviceinfo,filename,scannum
ABB,1,halle12,1,-79.92181512,43.26042963,"motorola,moto g(6),28,motorola",halle12_1_20200108104622.pbf,1
ABB,1,halle12,1,-79.92181516,43.26043004,"motorola,moto g(6),28,motorola",halle12_1_20200108104622.pbf,2
ABB,1,halle12,1,-79.92181519,43.26043045,"motorola,moto g(6),28,motorola",halle12_1_20200108104622.pbf,3
ABB,1,sunx46,1,-79.92120737,43.26065561,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,1
ABB,1,sunx46,1,-79.92123091,43.26065547,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,2
ABB,1,sunx46,1,-79.92125486,43.26065533,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,3
ABB,1,sunx46,1,-79.92127882,43.26065519,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,4
ABB,1,sunx46,1,-79.9214737,43.26065407,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,5
ABB,1,sunx46,1,-79.92173543,43.26065256,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,6
ABB,1,sunx46,1,-79.92192171,43.26065149,"HUAWEI,VOG-AL00,28,HUAWEI",sunx46_1_20191124153142.pbf,7
ABB,1,zhabi23,1,-79.92180176,43.26020478,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,1
ABB,1,zhabi23,1,-79.92180205,43.26020922,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,2
ABB,1,zhabi23,1,-79.92180234,43.26021373,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,3
ABB,1,zhabi23,1,-79.92180264,43.26021834,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,4
ABB,1,zhabi23,1,-79.92180293,43.26022288,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,5
ABB,1,zhabi23,1,-79.92180323,43.2602275,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,6
ABB,1,zhabi23,1,-79.92180694,43.26028469,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,7
ABB,1,zhabi23,1,-79.92181068,43.26034232,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,8
ABB,1,zhabi23,1,-79.92181224,43.26036636,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,9
ABB,1,zhabi23,1,-79.92181606,43.26042531,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,10
ABB,1,zhabi23,1,-79.92181973,43.26048194,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,11
ABB,1,zhabi23,1,-79.92182741,43.26060035,"HUAWEI,JSN-L23,27,HONOR",zhabi23_1_20191120193102.pbf,12
