macID,building,floor,longitude,latitude,filename,mw,ms,er,mode
alderss,HH,1,-79.92257386,43.26104063,alderss_2_20191108143802.pbf,9,16,17,2
alderss,HH,1,-79.9228446,43.26108153,alderss_2_20191108144013.pbf,9,19,18,2
alderss,HH,1,-79.92237063,43.2609295,alderss_2_20191108144218.pbf,11,21,19,2
alderss,HH,1,-79.92266193,43.26128709,alderss_2_20191108144415.pbf,9,20,13,2
alderss,HH,1,-79.92274362,43.26088559,alderss_2_20191108144617.pbf,9,19,16,2
alderss,HH,1,-79.92250491,43.26124918,alderss_2_20191108144821.pbf,17,25,24,2
alderss,HH,1,-79.92281975,43.26096089,alderss_2_20191108145023.pbf,15,18,17,2
alderss,HH,1,-79.92244078,43.26105022,alderss_2_20191108145226.pbf,22,25,24,2
alderss,HH,1,-79.92268721,43.26097856,alderss_2_20191108145433.pbf,11,18,16,2
alderss,HH,1,-79.92259435,43.26115789,alderss_2_20191108145630.pbf,15,18,19,2
alderss,HH,1,-79.92243505,43.26110142,alderss_2_20191108145831.pbf,11,13,12,2
alderss,HH,1,-79.92279757,43.26120707,alderss_2_20191108150027.pbf,9,17,15,2
alderss,HH,1,-79.92243815,43.26117545,alderss_2_20191108150230.pbf,11,16,17,2
alderss,HH,1,-79.9225521,43.26097531,alderss_2_20191108150627.pbf,9,14,11,2
alderss,HH,1,-79.92287085,43.26116317,alderss_2_20191108150829.pbf,8,15,11,2
alderss,HH,1,-79.92234244,43.26110784,alderss_2_20191108151033.pbf,11,18,17,2
baigm21,JHE,1,-79.92082317,43.26027484,baigm21_2_20191023204523.pbf,17,31,28,2
basita1,ABB,1,-79.91856427,43.26015997,basita1_2_20191218124145.pbf,51,48,55,2
campbi1,JHE,1,-79.92035723,43.26059768,campbi1_2_20191017160448.pbf,0,402,458,2
campbi1,JHE,1,-79.9203478,43.26043726,campbi1_2_20191017161207.pbf,0,811,959,2
campbi1,DBAC,1,-79.91617942,43.26517944,campbi1_2_20191018071108.pbf,0,25,24,2
campbi1,CNH,1,-79.91836765,43.26393292,campbi1_2_20191021121544.pbf,0,1550,1538,2
campbi1,T13,1,-79.91966255,43.25864689,campbi1_2_20191021141703.pbf,0,3648,3932,2
chenj194,ITB,1,-79.92066794,43.2588702,chenj194_2_20191010170555.pbf,12,13,14,2
chenl130,HGTL,3,-79.92260859,43.26120545,chenl130_2_20191018125501.pbf,49,65,66,2
dezeeuwt,LRW,1,-79.91706794,43.26164299,dezeeuwt_2_20191002101808.pbf,17,31,28,2
dezeeuwt,LRW,1,-79.91707931,43.2616741,dezeeuwt_2_20191002101959.pbf,27,29,32,2
dezeeuwt,LRW,2,-79.91717667,43.26166018,dezeeuwt_2_20191002102255.pbf,13,19,19,2
dezeeuwt,LRW,6,-79.91707587,43.26169418,dezeeuwt_2_20191002102352.pbf,6,6,8,2
dezeeuwt,BSB,1,-79.9205858,43.26215543,dezeeuwt_2_20191002123427.pbf,20,24,23,2
dezeeuwt,BSB,1,-79.92058102,43.26216157,dezeeuwt_2_20191002123620.pbf,17,19,20,2
dezeeuwt,BSB,1,-79.92030802,43.26219484,dezeeuwt_2_20191004125313.pbf,17,21,21,2
dezeeuwt,BSB,1,-79.92065464,43.26217549,dezeeuwt_2_20191004125453.pbf,5,5,6,2
dezeeuwt,BSB,1,-79.92060322,43.26226457,dezeeuwt_2_20191004125556.pbf,13,17,20,2
